IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.144.205.9,443,443,true,FRA,Europe,Frankfurt,294,5.71
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,116,5.65
131.186.33.118,443,443,true,NRT,Asia Pacific,Tokyo,80,5.65
141.147.80.143,443,443,true,FRA,Europe,Frankfurt,269,5.63
152.67.148.60,443,443,true,FRA,Europe,Frankfurt,262,5.59
193.123.61.70,443,443,true,FRA,Europe,Frankfurt,276,5.57
84.8.147.147,443,443,true,FRA,Europe,Frankfurt,349,5.57
141.147.87.227,443,443,true,FRA,Europe,Frankfurt,262,5.56
141.144.205.235,443,443,true,FRA,Europe,Frankfurt,258,5.55
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.47
132.226.134.67,443,443,true,FRA,Europe,Frankfurt,270,5.45
143.47.189.82,443,443,true,FRA,Europe,Frankfurt,279,5.45
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,104,5.43
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,267,5.41
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,234,5.40
140.83.86.166,443,443,true,KIX,Asia Pacific,Osaka,306,5.40
141.144.198.66,443,443,true,FRA,Europe,Frankfurt,331,5.36
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,77,5.34
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,319,5.33
84.8.159.76,443,443,true,FRA,Europe,Frankfurt,195,5.32
141.144.201.223,443,443,true,FRA,Europe,Frankfurt,188,5.30
141.147.86.140,443,443,true,FRA,Europe,Frankfurt,264,5.30
141.147.85.176,443,443,true,FRA,Europe,Frankfurt,262,5.29
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,105,5.28
158.178.155.2,443,443,true,FRA,Europe,Frankfurt,280,5.25
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,90,5.25
158.101.204.43,443,443,true,FRA,Europe,Frankfurt,255,5.24
141.147.118.87,443,443,true,FRA,Europe,Frankfurt,292,5.22
141.145.206.16,8443,443,true,CDG,Europe,Paris,240,5.21
132.226.213.81,443,443,true,FRA,Europe,Frankfurt,262,5.17
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,104,5.14
158.101.210.148,443,443,true,FRA,Europe,Frankfurt,288,5.09
146.56.157.246,443,443,true,NRT,Asia Pacific,Tokyo,113,5.05
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,112,5.04
141.147.71.66,443,443,true,FRA,Europe,Frankfurt,264,5.03
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,315,4.98
143.47.224.33,443,443,true,FRA,Europe,Frankfurt,262,4.88
141.145.199.188,443,443,true,CDG,Europe,Paris,253,4.77
143.47.242.102,443,443,true,FRA,Europe,Frankfurt,324,4.71
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,182,4.70
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,237,4.69
143.47.240.101,443,443,true,FRA,Europe,Frankfurt,277,4.65
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,110,4.59
129.153.213.8,443,443,true,LAX,North America,Los Angeles,243,4.56
158.101.10.105,443,443,true,LAX,North America,Los Angeles,201,4.47
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,251,4.46
143.47.177.112,443,443,true,FRA,Europe,Frankfurt,291,4.44
152.69.199.70,8443,443,true,KIX,Asia Pacific,Osaka,262,4.43
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,238,4.42
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,260,4.42
144.21.54.76,443,443,true,FRA,Europe,Frankfurt,259,4.36
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,121,4.36
150.230.196.129,443,443,true,SIN,Asia Pacific,Singapore,312,4.33
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,243,4.29
132.226.128.226,443,443,true,FRA,Europe,Frankfurt,283,4.27
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,109,4.25
141.147.48.234,443,443,true,FRA,Europe,Frankfurt,312,4.25
141.147.28.21,443,443,true,FRA,Europe,Frankfurt,251,4.17
158.101.189.129,443,443,true,FRA,Europe,Frankfurt,257,4.15
143.47.243.144,2053,443,true,LHR,Europe,London,247,4.13
158.180.36.188,443,443,true,FRA,Europe,Frankfurt,254,4.09
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,125,4.08
89.168.111.242,443,443,true,FRA,Europe,Frankfurt,182,4.08
89.168.89.202,443,443,true,FRA,Europe,Frankfurt,311,4.08
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,320,4.04
130.162.237.22,443,443,true,FRA,Europe,Frankfurt,249,4.02
141.147.24.74,443,443,true,FRA,Europe,Frankfurt,183,4.02
130.162.229.171,443,443,true,FRA,Europe,Frankfurt,249,4.02
89.168.65.204,443,443,true,FRA,Europe,Frankfurt,246,4.02
89.168.114.22,443,443,true,FRA,Europe,Frankfurt,182,4.02
130.162.236.251,443,443,true,FRA,Europe,Frankfurt,322,4.00
158.101.192.178,443,443,true,FRA,Europe,Frankfurt,255,3.98
129.159.240.183,443,443,true,FRA,Europe,Frankfurt,247,3.97
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,260,3.97
152.70.155.147,443,443,true,LAX,North America,Los Angeles,241,3.97
89.168.109.100,443,443,true,FRA,Europe,Frankfurt,249,3.96
132.226.203.244,443,443,true,FRA,Europe,Frankfurt,249,3.94
158.180.19.243,443,443,true,FRA,Europe,Frankfurt,247,3.93
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,190,3.92
141.147.176.248,443,443,true,SIN,Asia Pacific,Singapore,329,3.90
141.144.232.81,443,443,true,FRA,Europe,Frankfurt,249,3.90
141.147.55.150,443,443,true,FRA,Europe,Frankfurt,246,3.90
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,317,3.88
130.61.87.219,443,443,true,FRA,Europe,Frankfurt,246,3.87
141.147.52.128,443,443,true,FRA,Europe,Frankfurt,248,3.87
89.168.77.113,443,443,true,FRA,Europe,Frankfurt,250,3.85
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,104,3.83
158.180.54.169,443,443,true,FRA,Europe,Frankfurt,320,3.83
143.47.243.144,8443,443,true,LHR,Europe,London,247,3.82
152.70.161.107,443,443,true,FRA,Europe,Frankfurt,246,3.82
150.230.127.71,443,443,true,FRA,Europe,Frankfurt,262,3.80
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,318,3.78
192.18.139.229,8443,443,true,SJC,North America,San Jose,238,3.78
144.24.184.49,443,443,true,FRA,Europe,Frankfurt,246,3.73
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,314,3.72
168.138.88.116,8443,443,true,YYZ,North America,Toronto,243,3.72
152.70.189.49,443,443,true,FRA,Europe,Frankfurt,276,3.71
158.180.40.17,443,443,true,FRA,Europe,Frankfurt,321,3.70
130.162.246.156,443,443,true,FRA,Europe,Frankfurt,258,3.69
158.178.206.197,8443,443,true,CDG,Europe,Paris,239,3.64
140.238.195.98,443,443,true,SYD,Oceania,Sydney,99,3.60
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,332,3.58
84.235.163.217,443,443,true,FRA,Europe,Frankfurt,276,3.57
152.67.231.219,443,443,true,SJC,North America,San Jose,206,3.53
84.235.166.184,443,443,true,FRA,Europe,Frankfurt,278,3.52
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,217,3.52
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,254,3.46
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,248,3.29
