IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
20.185.28.234,44056,true,IAD,North America,Ashburn,223 ms,5458 kB/s
51.107.13.85,8443,true,MXP,Europe,Milan,281 ms,4386 kB/s
4.255.56.138,443,true,IAD,North America,Ashburn,306 ms,3564 kB/s
20.220.204.217,443,true,YYZ,North America,Toronto,252 ms,3311 kB/s
52.151.81.2,2083,true,LHR,Europe,London,275 ms,2585 kB/s
20.240.254.247,8443,true,ARN,Europe,Stockholm,320 ms,2348 kB/s
4.255.56.137,443,true,IAD,North America,Ashburn,298 ms,2238 kB/s
20.62.202.159,443,true,IAD,North America,Ashburn,280 ms,1865 kB/s
172.190.150.25,8443,true,IAD,North America,Ashburn,277 ms,1430 kB/s
20.108.51.255,443,true,LHR,Europe,London,286 ms,835 kB/s
51.120.240.115,8080,true,CPH,Europe,Copenhagen,312 ms,793 kB/s
52.137.60.154,443,true,AMS,Europe,Amsterdam,281 ms,89 kB/s
51.120.240.115,2087,true,CPH,Europe,Copenhagen,301 ms,70 kB/s
20.170.41.153,443,true,FRA,Europe,Frankfurt,281 ms,40 kB/s
